data;1USD;1EUR
20210521;3,6778;4,4958
20210524;3,6795;4,4877
20210525;3,6549;4,4806
20210526;3,6691;4,4914
20210527;3,6929;4,498
20210528;3,6766;4,4845
20210531;3,6724;4,4805
20210601;3,659;4,4749
20210602;3,6659;4,4654
20210604;3,6931;4,4734
20210607;3,6656;4,4581
20210608;3,669;4,4674
20210609;3,6545;4,4541
20210610;3,6821;4,48
20210611;3,6759;4,4723
20210614;3,7185;4,5027
20210615;3,7349;4,5306
20210616;3,7336;4,5285
20210617;3,7931;4,5309
20210618;3,8198;4,5503
20210621;3,8214;4,5442
20210622;3,8132;4,5366
20210623;3,7878;4,52
20210624;3,7986;4,5302
20210625;3,7749;4,5085
20210628;3,7762;4,5092
20210629;3,7914;4,5123
20210630;3,8035;4,5208
20210701;3,8149;4,5187
20210702;3,8263;4,5257
20210705;3,7979;4,5083
20210706;3,8021;4,5036
20210707;3,8225;4,5197
20210708;3,8408;4,5414
20210709;3,8427;4,5467
20210712;3,8378;4,5559
20210713;3,8533;4,5662
20210714;3,8955;4,5904
20210715;3,8629;4,5777
20210716;3,8808;4,5865
20210719;3,8968;4,5877
20210720;3,9012;4,5983
20210721;3,9035;4,5983
20210722;3,8801;4,5773
20210723;3,8851;4,5747
20210726;3,8915;4,5858
20210727;3,9017;4,5954
20210728;3,8849;4,5955
20210729;3,8617;4,5866
20210730;3,841;4,5731
20210802;3,8377;4,5611
20210803;3,8315;4,5533
20210804;3,8366;4,5468
20210805;3,8485;4,5555
20210806;3,8519;4,5495
20210809;3,8885;4,5709
20210810;3,8937;4,5681
20210811;3,9148;4,5854
20210812;3,9074;4,59
20210813;3,8934;4,5718
20210816;3,873;4,5651
20210817;3,8797;4,5691
20210818;3,8861;4,5547
20210819;3,9226;4,5843
20210820;3,9301;4,588
20210823;3,9107;4,5876
20210824;3,9086;4,5848
20210825;3,8869;4,5679
20210826;3,8912;4,5758
20210827;3,8978;4,5803
20210830;3,8724;4,5691
20210831;3,8386;4,5374
20210901;3,8238;4,5184
20210902;3,8044;4,5067
20210903;3,7998;4,5124
20210906;3,8041;4,5134
20210907;3,8041;4,5181
20210908;3,8213;4,5175
20210909;3,8292;4,5315
20210910;3,8402;4,5499
20210913;3,8495;4,5386
20210914;3,8542;4,5559
20210915;3,8475;4,5502
20210916;3,8847;4,5736
20210917;3,8882;4,5789
20210920;3,9282;4,5999
20210921;3,9337;4,6154
20210922;3,946;4,6308
20210923;3,9256;4,6012
20210924;3,9268;4,6085
20210927;3,9276;4,5912
20210928;3,9546;4,6192
20210929;3,9684;4,6287
20210930;3,9925;4,6329
20211001;3,9678;4,5941
20211004;3,9368;4,5716
20211005;3,9688;4,6034
20211006;3,9992;4,6203
20211007;3,9334;4,5472
20211008;3,9775;4,5956
20211011;3,9862;4,612
20211012;3,9664;4,5859
20211013;3,9638;4,5806
20211014;3,9403;4,577
20211015;3,9413;4,5733
20211018;3,9471;4,5715
20211019;3,9212;4,5717
20211020;3,9428;4,5841
20211021;3,9449;4,593
20211022;3,9576;4,6072
20211025;3,9502;4,6018
20211026;3,974;4,6134
20211027;3,9815;4,6165
20211028;3,9938;4,6284
20211029;3,9664;4,6208
20211102;3,9772;4,6129
20211103;3,9681;4,6
20211104;3,9807;4,5987
20211105;3,9911;4,6065
20211108;3,9747;4,595
20211109;3,9622;4,5942
20211110;3,9737;4,6007
20211112;4,0559;4,6412
20211115;4,0497;4,6365
20211116;4,1061;4,6652
20211117;4,1204;4,6614
20211118;4,1114;4,6592
20211119;4,1457;4,6844
20211122;4,1855;4,721
20211123;4,1893;4,7171
20211124;4,1764;4,6811
20211125;4,16;4,6688
20211126;4,1754;4,7038
20211129;4,1627;4,6982
20211130;4,1214;4,6834
20211201;4,1051;4,6494
20211202;4,0625;4,6002
20211203;4,0653;4,5934
20211206;4,0619;4,5889
20211207;4,0788;4,5991
20211208;4,071;4,5941
20211209;4,0837;4,6226
20211210;4,0887;4,6129
20211213;4,1003;4,6204
20211214;4,1088;4,6436
20211215;4,0999;4,6214
20211216;4,0938;4,6315
20211217;4,0882;4,6334
20211220;4,1182;4,6381
20211221;4,0937;4,6238
20211222;4,0984;4,6244
20211223;4,095;4,6359
20211224;4,0785;4,6252
20211227;4,0889;4,6239
20211228;4,062;4,6028
20211229;4,0779;4,5997
20211230;4,0631;4,5915
20211231;4,06;4,5994
