data;1USD;1EUR
20210104;3,6998;4,5485
20210105;3,7031;4,5446
20210107;3,6656;4,4973
20210108;3,6919;4,5189
20210111;3,7271;4,5325
20210112;3,7188;4,5228
20210113;3,7142;4,5272
20210114;3,7323;4,5407
20210115;3,7466;4,548
20210118;3,7699;4,5473
20210119;3,7416;4,5342
20210120;3,7303;4,5237
20210121;3,7312;4,531
20210122;3,7255;4,5354
20210125;3,7402;4,5436
20210126;3,7512;4,5497
20210127;3,7507;4,5468
20210128;3,7566;4,5479
20210129;3,746;4,5385
20210201;3,7323;4,5137
20210202;3,7311;4,5025
20210203;3,7352;4,4906
20210204;3,7509;4,4958
20210205;3,7554;4,4978
20210208;3,7301;4,4867
20210209;3,6972;4,4773
20210210;3,6973;4,4809
20210211;3,7117;4,5023
20210212;3,7186;4,5029
20210215;3,6949;4,4836
20210216;3,694;4,4891
20210217;3,7287;4,4998
20210218;3,7152;4,4857
20210219;3,6997;4,4892
20210222;3,7135;4,4963
20210223;3,7117;4,5093
20210224;3,7145;4,5176
20210225;3,6943;4,5143
20210226;3,7247;4,5175
20210301;3,7572;4,5231
20210302;3,7765;4,5345
20210303;3,7509;4,5393
20210304;3,7851;4,554
20210305;3,8393;4,5793
20210308;3,8665;4,5903
20210309;3,8507;4,5844
20210310;3,842;4,5718
20210311;3,8287;4,5805
20210312;3,8521;4,5909
20210315;3,8429;4,5836
20210316;3,8519;4,5949
20210317;3,8676;4,6065
20210318;3,8705;4,6224
20210319;3,8865;4,6226
20210322;3,8768;4,6138
20210323;3,8746;4,6073
20210324;3,9098;4,6273
20210325;3,9253;4,6358
20210326;3,9307;4,6353
20210329;3,957;4,656
20210330;3,9604;4,6519
20210331;3,9676;4,6603
20210401;3,9428;4,6239
20210402;3,8986;4,5933
20210406;3,8973;4,6041
20210407;3,8611;4,5897
20210408;3,8365;4,5581
20210409;3,8208;4,5414
20210412;3,8144;4,533
20210413;3,8342;4,5627
20210414;3,8065;4,5552
20210415;3,8014;4,5546
20210416;3,7978;4,5481
20210419;3,7816;4,5474
20210420;3,7737;4,5541
20210421;3,795;4,5567
20210422;3,7885;4,5562
20210423;3,7855;4,5649
20210426;3,7657;4,5565
20210427;3,7826;4,5613
20210428;3,7939;4,5811
20210429;3,7786;4,5782
20210430;3,7746;4,5654
20210504;3,794;4,5539
20210505;3,8136;4,5752
20210506;3,8066;4,5829
20210507;3,7861;4,5764
20210510;3,7493;4,5631
20210511;3,7514;4,5628
20210512;3,7456;4,5453
20210513;3,7675;4,5447
20210514;3,7374;4,5316
20210517;3,7288;4,5298
20210518;3,705;4,5272
20210519;3,7087;4,5306
20210520;3,7077;4,5189
