data,1USD,1EUR
20190102;3,7619;4,3016
20190103;3,7827;4,3030
20190104;3,7720;4,3018
20190107;3,7575;4,2989
20190108;3,7559;4,3013
20190109;3,7509;4,2989
20190110;3,7360;4,3055
20190111;3,7289;4,2957
20190114;3,7458;4,2936
20190115;3,7542;4,2922
20190116;3,7619;4,2929
20190117;3,7615;4,2875
20190118;3,7694;4,2964
20190121;3,7751;4,2928
20190122;3,7727;4,2862
20190123;3,7747;4,2867
20190124;3,7844;4,2942
20190125;3,7893;4,2935
20190128;3,7592;4,2885
20190129;3,7563;4,2974
20190130;3,7577;4,2952
20190131;3,7271;4,2802
20190201;3,7243;4,2706
20190204;3,7408;4,2813
20190205;3,7542;4,2869
20190206;3,7706;4,2936
20190207;3,7919;4,3019
20190208;3,8040;4,3082
20190211;3,8190;4,3172
20190212;3,8380;4,3268
20190213;3,8261;4,3312
20190214;3,8516;4,3394
20190215;3,8326;4,3243
20190218;3,8286;4,3317
20190219;3,8311;4,3303
20190220;3,8221;4,3371
20190221;3,8247;4,3322
20190222;3,8242;4,3387
20190225;3,8241;4,3402
20190226;3,8124;4,3338
20190227;3,7886;4,3173
20190228;3,7853;4,3120
20190301;3,7920;4,3079
20190304;3,7893;4,2984
20190305;3,7977;4,3018
20190306;3,8038;4,2992
20190307;3,8038;4,3019
20190308;3,8409;4,3068
20190311;3,8199;4,2983
20190312;3,8116;4,2976
20190313;3,8077;4,3006
20190314;3,8018;4,3015
20190315;3,8014;4,3037
20190318;3,7876;4,2993
20190319;3,7823;4,2940
20190320;3,7767;4,2864
20190321;3,7581;4,2870
20190322;3,7948;4,2894
20190325;3,7966;4,2978
20190326;3,7969;4,2970
20190327;3,8113;4,2991
20190328;3,8202;4,2998
20190329;3,8365;4,3013
20190401;3,8267;4,3035
20190402;3,8403;4,3004
20190403;3,8192;4,2941
20190404;3,8215;4,2921
20190405;3,8215;4,2921
20190408;3,8188;4,2897
20190409;3,8003;4,2871
20190410;3,8023;4,2852
20190411;3,7964;4,2821
20190412;3,7899;4,2847
20190415;3,7789;4,2770
20190416;3,7802;4,2737
20190417;3,7778;4,2750
20190418;3,8002;4,2790
20190419;3,8051;4,2802
20190423;3,8118;4,2886
20190424;3,8229;4,2895
20190425;3,8537;4,2959
20190426;3,8508;4,2906
20190429;3,8468;4,2950
20190430;3,8291;4,2911
20190502;3,8177;4,2795
20190506;3,8313;4,2847
20190507;3,8278;4,2858
20190508;3,8325;4,2914
20190509;3,8410;4,2977
20190510;3,8242;4,2955
20190513;3,8321;4,3029
20190514;3,8323;4,3085
20190515;3,8457;4,3128
20190516;3,8259;4,2929
20190517;3,8545;4,3072
20190520;3,8543;4,2995
20190521;3,8625;4,3055
20190522;3,8620;4,3098
20190523;3,8696;4,3107
20190524;3,8436;4,2989
20190527;3,8374;4,2952
20190528;3,8386;4,2967
20190529;3,8554;4,3007
20190530;3,8548;4,2919
20190531;3,8498;4,2916
20190603;3,8292;4,2809
20190604;3,8041;4,2788
20190605;3,7929;4,2782
20190606;3,8065;4,2783
20190607;3,7958;4,2762
20190610;3,7745;4,2640
20190611;3,7722;4,2675
20190612;3,7630;4,2650
20190613;3,7736;4,2610
20190614;3,7727;4,2554
20190617;3,7989;4,2599
20190618;3,8097;4,2631
20190619;3,8104;4,2673
20190621;3,7705;4,2622
20190624;3,7360;4,2538
20190625;3,7376;4,2554
20190626;3,7540;4,2642
20190627;3,7426;4,2561
20190628;3,7336;4,2520
20190701;3,7430;4,2406
20190702;3,7593;4,2457
20190703;3,7596;4,2442
20190704;3,7618;4,2427
20190705;3,7689;4,2445
20190708;3,7857;4,2519
20190709;3,8074;4,2637
20190710;3,8066;4,2729
20190711;3,7859;4,2682
20190712;3,7889;4,2669
20190715;3,7856;4,2673
20190716;3,7867;4,2582
20190717;3,8038;4,2644
20190718;3,7933;4,2635
20190719;3,7855;4,2592
20190722;3,7869;4,2480
20190723;3,7997;4,2492
20190724;3,8229;4,2581
20190725;3,8199;4,2514
20190726;3,8296;4,2645
20190729;3,8453;4,2773
20190730;3,8493;4,2906
20190731;3,8504;4,2911
20190801;3,8860;4,2931
20190802;3,8829;4,3085
20190805;3,8739;4,3182
20190806;3,8482;4,3096
20190807;3,8597;4,3194
20190808;3,8538;4,3220
20190809;3,8613;4,3225
20190812;3,8711;4,3262
20190813;3,8714;4,3327
20190814;3,8890;4,3463
20190816;3,9281;4,3543
20190819;3,9199;4,3519
20190820;3,9408;4,3656
20190821;3,9210;4,3513
20190822;3,9337;4,3660
20190823;3,9371;4,3572
20190826;3,9335;4,3719
20190827;3,9309;4,3684
20190828;3,9548;4,3857
20190829;3,9586;4,3845
20190830;3,9717;4,3844
20190902;3,9819;4,3691
20190903;3,9882;4,3667
20190904;3,9414;4,3385
20190905;3,9330;4,3409
20190906;3,9315;4,3392
20190909;3,9310;4,3373
20190910;3,9273;4,3350
20190911;3,9324;4,3357
20190912;3,9362;4,3400
20190913;3,9120;4,3396
20190916;3,9116;4,3262
20190917;3,9412;4,3410
20190918;3,9322;4,3419
20190919;3,9267;4,3425
20190920;3,9319;4,3438
20190923;3,9983;4,3891
20190924;3,9838;4,3796
20190925;3,9856;4,3844
20190926;4,0092;4,3861
20190927;4,0154;4,3866
20190930;4,0000;4,3736
20191001;4,0147;4,3734
20191002;4,0152;4,3788
20191003;3,9652;4,3475
20191004;3,9469;4,3311
20191007;3,9498;4,3304
20191008;3,9405;4,3310
20191009;3,9382;4,3257
20191010;3,9226;4,3217
20191011;3,9145;4,3097
20191014;3,8958;4,2969
20191015;3,8952;4,2949
20191016;3,8934;4,2970
20191017;3,8638;4,2849
20191018;3,8503;4,2844
20191021;3,8307;4,2775
20191022;3,8408;4,2792
20191023;3,8473;4,2778
20191024;3,8448;4,2800
20191025;3,8452;4,2762
20191028;3,8529;4,2732
20191029;3,8598;4,2757
20191030;3,8388;4,2655
20191031;3,8174;4,2617
20191104;3,8099;4,2539
20191105;3,8308;4,2631
20191106;3,8497;4,2697
20191107;3,8502;4,2653
20191108;3,8625;4,2638
20191112;3,8780;4,2788
20191113;3,8902;4,2850
20191114;3,9011;4,2916
20191115;3,8848;4,2807
20191118;3,8767;4,2884
20191119;3,8786;4,2928
20191120;3,8792;4,2917
20191121;3,8737;4,2948
20191122;3,8853;4,2975
20191125;3,9036;4,2990
20191126;3,9039;4,2999
20191127;3,9154;4,3107
20191128;3,9252;4,3230
20191129;3,9288;4,3236
20191202;3,9047;4,3008
20191203;3,8706;4,2900
20191204;3,8647;4,2792
20191205;3,8566;4,2777
20191206;3,8500;4,2721
20191209;3,8704;4,2830
20191210;3,8711;4,2880
20191211;3,8660;4,2851
20191212;3,8505;4,2846
20191213;3,8234;4,2747
20191216;3,8311;4,2659
20191217;3,8211;4,2605
20191218;3,8302;4,2644
20191219;3,8281;4,2632
20191220;3,8311;4,2604
20191223;3,8394;4,2554
20191224;3,8487;4,2624
20191227;3,8266;4,2624
20191230;3,8027;4,2588
20191231;3,7977;4,2585
