data;1USD;1EUR
20230829;4,1341;4,4690
20230830;4,1167;4,4740
20230831;4,1074;4,4684
20230901;4,1263;4,4762
20230904;4,1353;4,4653
20230905;4,1643;4,4764
20230906;4,1895;4,4974
20230907;4,2890;4,5940
20230908;4,2958;4,6019
20230911;4,3077;4,6209
20230912;4,3711;4,6836
20230913;4,3225;4,6402
20230914;4,3120;4,6285
20230915;4,3418;4,6307
20230918;4,3489;4,6377
20230919;4,3472;4,6458
20230920;4,3501;4,6529
20230921;4,3365;4,6210
20230922;4,3269;4,6069
20230925;4,3188;4,5892
20230926;4,3485;4,6077
20230927;4,3622;4,6065
20230928;4,4062;4,6340
20230929;4,3697;4,6356
20231002;4,3634;4,6091
20231003;4,4012;4,6147
20231004;4,4155;4,6303
20231005;4,3768;4,5974
20231006;4,3608;4,5998
20231009;4,3439;4,5793
20231010;4,2985;4,5581
20231011;4,2589;4,5183
20231012;4,2659;4,5329
20231013;4,3033;4,5417
20231016;4,2505;4,4804
20231017;4,2131;4,4389
20231018;4,2035;4,4488
20231019;4,2264;4,4529
20231020;4,2194;4,4675
20231023;4,2022;4,4552
20231024;4,1884;4,4604
20231025;4,2284;4,4758
20231026;4,2395;4,4708
20231027;4,2267;4,4642
20231030;4,2040;4,4491
20231031;4,1684;4,4475
20231102;4,1963;4,4582
20231103;4,1857;4,4569
20231106;4,1512;4,4615
20231107;4,1667;4,4513
20231108;4,1804;4,4584
20231109;4,1513;4,4413
20231110;4,1423;4,4227
20231113;4,1474;4,4336
20231114;4,1210;4,4163
20231115;4,0453;4,3900
20231116;4,0415;4,3854
20231117;4,0327;4,3767
20231120;3,9938;4,3680
20231121;3,9882;4,3647
20231122;4,0180;4,3804
20231123;3,9969;4,3658
20231124;4,0103;4,3722
20231127;3,9769;4,3543
20231128;3,9750;4,3542
20231129;3,9478;4,3327
20231130;3,9810;4,3492
20231201;3,9910;4,3494
20231204;3,9850;4,3337
20231205;3,9910;4,3233
20231206;4,0202;4,3382
20231207;4,0199;4,3334
20231208;4,0181;4,3303
20231211;4,0277;4,3366
20231212;4,0204;4,3396
20231213;4,0149;4,3309
20231214;3,9484;4,3053
20231215;3,9326;4,3103
20231218;3,9625;4,3269
20231219;3,9591;4,3321
20231220;3,9527;4,3341
20231221;3,9645;4,3387
20231222;3,9338;4,3288
20231227;3,9178;4,3311
20231228;3,8990;4,3392
20231229;3,9350;4,3480
