data;1USD;1EUR
20230102;4,3811;4,6784
20230103;4,4373;4,6800
20230104;4,3998;4,6688
20230105;4,3970;4,6709
20230109;4,4010;4,6970
20230110;4,3720;4,6981
20230111;4,3639;4,6871
20230112;4,3556;4,6888
20230113;4,3272;4,6915
20230116;4,3436;4,7004
20230117;4,3398;4,6946
20230118;4,3322;4,7091
20230119;4,3469;4,7053
20230120;4,3520;4,7137
20230123;4,3242;4,7186
20230124;4,3341;4,7073
20230125;4,3265;4,7079
20230126;4,3354;4,7239
20230127;4,3252;4,7076
20230130;4,3258;4,7160
20230131;4,3480;4,7089
20230201;4,3254;4,7080
20230202;4,2803;4,7079
20230203;4,2928;4,6920
20230206;4,3833;4,7195
20230207;4,4325;4,7476
20230208;4,4074;4,7402
20230209;4,4003;4,7363
20230210;4,4565;4,7716
20230213;4,4856;4,7895
20230214;4,4463;4,7847
20230215;4,4372;4,7593
20230216;4,4601;4,7728
20230217;4,4888;4,7747
20230220;4,4515;4,7542
20230221;4,4524;4,7469
20230222;4,4687;4,7538
20230223;4,4873;4,7525
20230224;4,4630;4,7245
20230227;4,4697;4,7162
20230228;4,4475;4,7170
20230301;4,4094;4,6925
20230302;4,4002;4,6750
20230303;4,4341;4,7046
20230306;4,4289;4,7073
20230307;4,3981;4,6871
20230308;4,4626;4,7018
20230309;4,4356;4,6836
20230310;4,4266;4,6838
20230313;4,3906;4,6848
20230314;4,3793;4,6909
20230315;4,4030;4,7015
20230316;4,4248;4,6978
20230317;4,4202;4,7062
20230320;4,4130;4,7109
20230321;4,3715;4,6981
20230322;4,3467;4,6888
20230323;4,3011;4,6817
20230324;4,3742;4,6911
20230327;4,3518;4,6856
20230328;4,3300;4,6816
20230329;4,3247;4,6850
20230330;4,3043;4,6801
20230331;4,2934;4,6755
20230403;4,3168;4,6805
20230404;4,2855;4,6785
20230405;4,2739;4,6803
20230406;4,3033;4,6902
20230407;4,2932;4,6862
20230411;4,2917;4,6810
20230412;4,2713;4,6660
20230413;4,2225;4,6511
20230414;4,2042;4,6494
20230417;4,2261;4,6341
20230418;4,2151;4,6286
20230419;4,2244;4,6278
20230420;4,2024;4,6109
20230421;4,2006;4,6039
20230424;4,1905;4,6129
20230425;4,1649;4,5980
20230426;4,1557;4,5887
20230427;4,1541;4,5915
20230428;4,1753;4,5889
20230502;4,1823;4,5892
20230504;4,1547;4,5868
20230505;4,1612;4,5885
20230508;4,1384;4,5671
20230509;4,1609;4,5683
20230510;4,1532;4,5488
20230511;4,1414;4,5259
20230512;4,1638;4,5444
20230515;4,1490;4,5096
20230516;4,1228;4,4904
20230517;4,1504;4,4945
20230518;4,1929;4,5355
20230519;4,2053;4,5367
20230522;4,1881;4,5269
20230523;4,1634;4,4981
20230524;4,1573;4,4803
20230525;4,1994;4,5030
20230526;4,2156;4,5242
20230529;4,2234;4,5294
20230530;4,2242;4,5220
20230531;4,2559;4,5376
20230601;4,2399;4,5312
20230602;4,1903;4,5148
20230605;4,1933;4,4851
20230606;4,1964;4,4902
20230607;4,1887;4,4790
20230609;4,1545;4,4717
20230612;4,1169;4,4366
20230613;4,1439;4,4783
20230614;4,1393;4,4715
20230615;4,1203;4,4633
20230616;4,0715;4,4583
20230619;4,0680;4,4457
20230620;4,0580;4,4386
20230621;4,0648;4,4408
20230622;4,0330;4,4335
20230623;4,0893;4,4367
20230626;4,0669;4,4297
20230627;4,0481;4,4286
20230628;4,0719;4,4600
20230629;4,0832;4,4568
20230630;4,1066;4,4503
20230703;4,0714;4,4321
20230704;4,0636;4,4273
20230705;4,0869;4,4498
20230706;4,1191;4,4754
20230707;4,1189;4,4803
20230710;4,0632;4,4553
20230711;4,0374;4,4426
20230712;4,0347;4,4471
20230713;3,9724;4,4336
20230714;3,9617;4,4486
20230717;3,9616;4,4520
20230718;3,9451;4,4331
20230719;3,9612;4,4492
20230720;3,9710;4,4511
20230721;3,9990;4,4501
20230724;4,0210;4,4517
20230725;4,0080;4,4348
20230726;3,9949;4,4248
20230727;3,9702;4,4224
20230728;4,0377;4,4257
20230731;3,9995;4,4135
20230801;4,0262;4,4190
20230802;4,0497;4,4484
20230803;4,0810;4,4585
20230804;4,0620;4,4438
20230807;4,0347;4,4279
20230808;4,0396;4,4375
20230809;4,0592;4,4586
20230810;4,0521;4,4650
20230811;4,0501;4,4547
20230814;4,0525;4,4361
20230816;4,0832;4,4621
20230817;4,1094;4,4681
20230818;4,1285;4,4869
20230821;4,1124;4,4768
20230822;4,0924;4,4648
20230823;4,1438;4,4834
20230824;4,1180;4,4730
20230825;4,1419;4,4674
20230828;4,1400;4,4716
