data;1USD;1EUR
20221130;4,5066;4,6684
20221201;4,4911;4,6892
20221202;4,4492;4,685
20221205;4,4415;4,6898
20221206;4,4787;4,6995
20221207;4,4834;4,6968
20221208;4,476;4,6976
20221209;4,4351;4,6821
20221212;4,4424;4,6912
20221213;4,4527;4,6945
20221214;4,3973;4,6886
20221215;4,41;4,6843
20221216;4,4227;4,6934
20221219;4,4153;4,6886
20221220;4,4001;4,6804
20221221;4,3947;4,6648
20221222;4,3726;4,6551
20221223;4,37;4,6364
20221227;4,3671;4,6558
20221228;4,4127;4,6938
20221229;4,4078;4,6969
20221230;4,4018;4,6899
